,Unnamed: 0,id,text_ids,question,answer
582,0,19,[4752 4125],What is the structure of phosphotungstic acid?,It has a Keggin structure with a cage of 12 tungsten atoms linked by oxygen atoms and a phosphorus atom at its centre
1297,0,1080,[8685 7964],What is the main difference between the smooth muscle found in arteries and veins?,Arteries have a greater amount of smooth muscle than veins
532,0,789,[6258 9436],What is the classification of Phytomyxea?,Phytomyxea belong to the Cercozoa
137,0,1288,[2590 5909],What is the formula of 1-Naphthol?,C10H7OH
1096,0,1608,[8881 1374 10089 11441],What family of mites does Allothrombium belong to?,Trombidiidae
677,0,204,[10057 12990 2447],What are the codons that encode lysine?,AAA and AAG
1136,0,2735,[1407 6515],What are the four main actions of the quadratus lumborum muscle?,"Lateral flexion of the vertebral column, extension of the lumbar vertebral column, fixation of the twelfth rib during forced expiration, and elevation of the ilium"
1268,0,2113,[4101 8350 7172 1315],What is the mechanism of action of Istaroxime?,Istaroxime works by inhibiting sodium/potassium adenosine triphosphatase (Na+/K+ ATPase)
33,0,2666,[1959 10728],What type of compounds are Momordins?,Saponins
45,0,1603,[5980 8185 12538],What is used to provide gradual underflow in floating-point arithmetic?,Subnormal numbers
2226,0,2224,[8377 4186 1549],What drives ATP synthase in photosynthesis and cellular respiration?,Hydrogen ions
767,0,1103,[1384 2354],What is the chemical formula of 2C-P?,"2,5-dimethoxy-4-n-propylphenethylamine"
1932,0,2731,[6732 13258 10651],What is the composition of litharge?,Litharge is a natural mineral form of lead(II) oxide
1059,0,1083,[2871 13102 3063],What is the primary reason for the lower reactivity of ECC compared to other molecules?,"The ester group can react with the polymerizing chain end and stabilize it, resulting in a slower polymerization rate"
2124,0,2711,[12954 496 2843],What is the predicted molecular weight of the ZC3H12B protein?,94.2 kdal
792,0,565,[1276 5033],What is the color of chromyl fluoride?,Violet-red
1700,0,1232,[2623 5329],What is the function of eosinophil peroxidase in the immune system?,It catalyzes the formation of hypohalous acids from hydrogen peroxide and halide ions
1479,0,130,[975 11671 12653],What is the function of PiT family members?,They transport inorganic phosphate or inorganic sulfate
1216,0,323,[11944 5621],What is the top shutter speed of the Canon AE-1 Program?,1/1000 of a second
1723,0,2765,[775 8608 3741],What type of processor cores are the ARM7TDMI and ARM7EJ-S variants of?,32-bit RISC ARM processor cores
317,0,15,[1277 8268 5872],What is the primary goal of the Minamata Convention on Mercury?,To reduce global mercury emissions and exposure
2134,0,2620,[9349 8820 4486],What family of aquatic heteropteran bugs is known for having a distinctive pair of horn-like structures on the male's head?,Gerridae
237,0,2524,[11056 11969],What is the genetic defect that causes xeroderma pigmentosum?,An autosomal recessive genetic defect in the nucleotide excision repair (NER) enzymes
263,0,1124,[962 1025 2026 3197],What is the main difference between HMR 1883 and glibenclamide in terms of their action on KATP channels?,"HMR 1883 targets selectively the Kir6.2/SUR2A KATP subtype in cardiac cells, whereas glibenclamide interacts with many KATP channels throughout the body"
1315,0,2588,[9972 3264 9876 7979],What type of semiconductor has a band gap smaller than 1.11 eV at room temperature?,Narrow-gap semiconductor
2154,0,802,[7543 6695 7394],What is the molecular weight of the CCDC121 protein?,Approximately 43 kDa
628,0,1794,[8308 8195 12839 11596],What does a CO-oximeter measure?,The oxygen-carrying state of hemoglobin in a blood specimen
1095,0,1006,[4695 12508],What is the effect of IL-13 on goblet cell differentiation?,IL-13 induces goblet cell differentiation
1533,0,566,[2647 12866],What is the role of IL-30 in cancer?,It promotes tumor growth and progression
423,0,1201,[6018 669],What is a common trigger for reflex syncope?,Emotional stress
607,0,2179,[2516 12999],What is being investigated as a disease-modifying therapy for Alzheimer's disease?,Scyllo-inositol
1524,0,92,[11283 9956],What is the use of Fluazinam in potatoes?,It is used to control late blight
1244,0,459,[10080 11419],What receptors do human uterine natural killer cells lack compared to peripheral NK cells?,CD16 and L-selectin
1663,0,1199,[7901 12720 704 7841],What is a concern when Monascus is used in fermented foods?,"Citrinin, a mycotoxin, can pose a risk to human health"
1874,0,126,[1758 5977 8809],What is the process of producing FEP?,Free-radical polymerization of mixtures of tetrafluoroethylene and hexafluoropropylene
1588,0,2051,[10924 4011 9305],What type of receptor is composed of IL-17RA and IL-17RB subunits?,A heterodimeric receptor
1142,0,68,[7972 2890],What is the structure of nitrosamides?,R1C(=X)N(–R2)–N=O
1057,0,1065,[1413 5921 7903],What is the role of BRI1 in plant development?,"BRI1 controls cell elongation, pollen development, and vasculature development"
2108,0,2036,[10144 4930 2121],What is one use of Zinc Bromide?,It is used as a Lewis acid in organic chemistry
1934,0,1001,[8429 7389 7784],What is a critical factor in determining the spinning capacity of wool?,Fiber diameter
855,0,2624,[5101 11879 487 5626],What type of enzyme is guanylate cyclase?,A lyase enzyme
909,0,2699,[5123 10113 2928 12577],What is a biological activity of androstenediol?,It stimulates the immune system and has estrogenic activity
1472,0,970,[1657 3364 6592],What is the effect of a higher bypass ratio on a turbofan engine's fuel consumption?,A lower fuel consumption for the same thrust
1253,0,119,[12487 8897 4346],What is the predicted molecular weight of the BEND2 protein?,87.9 kDal
815,0,969,[11236 11410 1204],What is the most stable isomer of Thiosulfurous Acid?,HOSSOH
2079,0,551,[12972 8623 11244],What is the main advantage of subpixel rendering?,Improved text and image rendering
1866,0,2009,[5330 144 4374 3899],What is the approximate molecular weight of the TMEM151B protein?,Approximately 61 kDa
1483,0,1179,[4507 2],What is an alternative to surgical resection for treating benign bone tumors?,Thermal ablation techniques.
764,0,1963,[8906 4197 5443],What is the role of phospholipase C in the inflammation pathway?,It catalyzes the release of arachidonic acid from membrane phospholipids
1521,0,2016,[11607 12455 2665 9766],What type of reaction mechanism leads to the formation of different stereoisomeric products from different stereoisomeric reactants?,Stereospecific reaction mechanism
1831,0,2447,[3087 9064 6463 7076],What is the method used by IWFM to simulate groundwater flow?,The finite element method
4,0,1194,[5023 7812 237 11292],What is the function of the UbiX enzyme?,UbiX is a flavin prenyltransferase that catalyzes the addition of dimethylallyl-monophosphate (DMAP) onto FMN
1248,0,2523,[12082 10603],"What is a chemical that has been linked to possible health effects including liver, thyroid, reproductive, and neurological problems?",DecaBDE
1261,0,1081,[2795 7881 7310],"What is 1,1-Difluoroethane used as?","A refrigerant, propellant, and in gas duster products"
1596,0,1787,[2725 9984 3998 1802],What family of plants is represented by the species Hymenophyllum wrightii?,Hymenophyllaceae
2003,0,723,[10983 7395 3393],What is the predicted molecular weight of the most-studied isoform of FAM237A?,20.56 kDa
1037,0,899,[2812 10180 8154],What is Vildagliptin classified as?,An oral anti-diabetic drug that belongs to the dipeptidyl peptidase-4 (DPP-4) inhibitor class
604,0,2459,[4025 12602 10872],What is the name of the person who founded Protocol Labs in May 2014?,Juan Benet
1951,0,994,[3949 8310],What is the structure of trithioacetone?,"A six-membered ring of alternating carbon and sulfur atoms, with two methyl groups attached to each carbon"
1526,0,170,[6188 6042 3624],What is the main cause of peach leaf curl?,A fungal disease caused by Taphrina deformans
2098,0,2376,[2248 5202],What is the main problem with ASCII character encoding?,It failed to address international and linguistic concerns
1309,0,1317,[5941 4169],What can a pushdown automaton manipulate as part of performing a transition?,The stack
623,0,72,[12258 11107],What is Progabide used to treat?,"Generalized tonic-clonic, myoclonic, partial, and Lennox-Gastaut syndrome seizures"
1288,0,2533,[11321 2857],What type of distribution is related to the Rademacher distribution?,The Bernoulli distribution
929,0,1813,[1941 9749 5107],What property do real primitive Dirichlet characters satisfy?,They are completely multiplicative
2235,0,416,[10599 10936 8188],What is the pKa of Nitroxyl?,About 11
2242,0,1941,[7363 621 3994 9840],What are the three main categories of Organic Compounds in Mineral Classification?,"Salts of organic acids, hydrocarbons, and miscellaneous organic minerals"
1690,0,1869,[5655 13092 12840 7088],What color does methyl red turn in acidic solutions?,Red
1740,0,613,[5434 6261],"What enzyme is a key enzyme in the steroidogenic pathway that produces progestins, mineralocorticoids, glucocorticoids, androgens, and estrogens?",CYP17A1
535,0,2483,[6917 10683 469 10980],What is the name of the group that constructed the 1k2 polytope?,The En Coxeter group
198,0,1969,[2695 8551 5780],What is the theory that the hard-easy effect is rooted in?,Social comparison theory
1609,0,1896,[3414 703],What is the role of 11-Deoxycorticosterone in regulating electrolytes?,"It plays a crucial role in regulating electrolytes, stimulating the collecting tubules to excrete potassium and retaining sodium"
2117,0,1959,[11571 1039 12806 4535],What must a bounded entire function be according to Liouville's theorem?,It must be constant
1744,0,105,[6590 6598],What is the structure of the OTC protein?,It is a trimeric protein with three active sites
570,0,943,[12446 1748],What is the purpose of the Banerjee test?,It is used to determine if a loop is parallelizable or not
1004,0,23,[12983 11682],"What is Zylon used in, besides medical devices?","Tennis racquets, table-tennis blades, snowboards, and Martian rovers"
658,0,2163,[10538 13190 3697],"What is the term for the impaired ability to perform rapid, alternating movements?",Dysdiadochokinesia
1720,0,2658,[12990 7484 10057],"What is the essential amino acid that is used in the biosynthesis of proteins and contains an α-amino group, an α-carboxylic acid group, and a side chain lysyl?",Lysine
2230,0,1145,[4829 4606 3895 6280],What is the mechanism of action of Rosuvastatin?,It inhibits HMG-CoA reductase
808,0,1772,[13177 10370],What is the equation for the output from a layer of linear nodes in an artificial neural network?,y = wx + b
954,0,1134,[521 10010],What is Wind Energy?,The kinetic energy of air in motion
782,0,2535,[3008 4035 11688 4826],What is the purpose of surface photometry in astronomy?,To study the surface brightness profile of galaxies
1651,0,2181,[4848 12828 12925],What is the chemical formula of monolaurin?,C15H30O4
1705,0,2603,[640 8045],What is the typical thickness of the semiconductor gain region in a VECSEL?,Less than 100 nm
1917,0,816,[2983 1863 1809],What is the area where fuel is burned to produce heat for boiling water in a steam engine?,The firebox
